,Country,LOCATION,TIME,Value,MEASURE,SUBJECT,INDICATOR
730,Grstria,GRC,2002,2.888766623,PC_GDP,Defence,GGEXP
5130,Frstria,FRA,2002,1.1273254240000001,PC_GDP,Housing,GGEXP
3653,Esstria,ESP,2002,1.085982027,PC_GDP,Defence,GGEXP
2630,Svstria,SVN,2002,1.181683098,PC_GDP,Defence,GGEXP
2666,Grstria,GRC,2002,3.9122538239999995,PC_GDP,Education,GGEXP
944,Chstria,CHE,2002,4.039705205,PC_GDP,Economic Affairs,GGEXP
2338,Grstria,GRC,2002,13.73357093,PC_GDP,Social Protection,GGEXP
3137,Bestria,BEL,2002,6.347054172000001,PC_GDP,Health,GGEXP
5040,Destria,DEU,2002,4.163057522,PC_GDP,Education,GGEXP
2284,Chstria,CHE,2002,0.772535302,PC_GDP,ENVPROT,GGEXP
1664,Grstria,GRC,2002,0.374401773,PC_GDP,Housing,GGEXP
3119,Itstria,ITA,2002,10.21485583,PC_GDP,Gen Pub Services,GGEXP
4231,Frstria,FRA,2002,2.037184105,PC_GDP,Defence,GGEXP
622,Esstria,ESP,2002,4.040413474,PC_GDP,Education,GGEXP
823,Esstria,ESP,2002,1.796673213,PC_GDP,Pub Order & Safety,GGEXP
4357,Fistria,FIN,2002,0.297671161,PC_GDP,ENVPROT,GGEXP
2594,Gbstria,GBR,2002,2.1281688830000003,PC_GDP,Pub Order & Safety,GGEXP
2968,Esstria,EST,2002,4.597987326,PC_GDP,Economic Affairs,GGEXP
2194,Destria,DEU,2002,4.211417029,PC_GDP,Economic Affairs,GGEXP
4062,Fistria,FIN,2002,0.38791535899999996,PC_GDP,Housing,GGEXP
2385,Fistria,FIN,2002,1.247255634,PC_GDP,Pub Order & Safety,GGEXP
5220,Gbstria,GBR,2002,2.15748181,PC_GDP,Defence,GGEXP
3209,Postria,POL,2002,6.153823378999999,PC_GDP,Education,GGEXP
1786,Postria,POL,2002,1.425949091,PC_GDP,Housing,GGEXP
5256,Esstria,EST,2002,0.617068041,PC_GDP,ENVPROT,GGEXP
3599,Bestria,BEL,2002,0.43168326799999995,PC_GDP,Housing,GGEXP
568,Swstria,SWE,2002,6.8820811829999995,PC_GDP,Education,GGEXP
604,Usstria,USA,2002,6.017251718,PC_GDP,Gen Pub Services,GGEXP
805,Czstria,CZE,2002,0.895234416,PC_GDP,ENVPROT,GGEXP
1574,Svstria,SVK,2002,14.61158065,PC_GDP,Social Protection,GGEXP
2176,Postria,POL,2002,0.62766926,PC_GDP,ENVPROT,GGEXP
4911,Hustria,HUN,2002,0.852744134,PC_GDP,ENVPROT,GGEXP
1052,Destria,DEU,2002,1.048623369,PC_GDP,Defence,GGEXP
3191,Irstria,IRL,2002,4.047986371,PC_GDP,Education,GGEXP
5238,Fistria,FIN,2002,1.299785838,PC_GDP,Defence,GGEXP
2702,Fistria,FIN,2002,6.1069730479999995,PC_GDP,Education,GGEXP
2320,Usstria,USA,2002,6.355699828,PC_GDP,Education,GGEXP
4929,Dnstria,DNK,2002,7.075590301,PC_GDP,Health,GGEXP
4339,Swstria,SWE,2002,1.2800316459999999,PC_GDP,RECULTREL,GGEXP
3581,Prstria,PRT,2002,0.649219448,PC_GDP,ENVPROT,GGEXP
2950,Destria,DEU,2002,1.621749495,PC_GDP,Pub Order & Safety,GGEXP
1556,Nostria,NOR,2002,1.1311150490000002,PC_GDP,Pub Order & Safety,GGEXP
4321,Svstria,SVN,2002,1.8600669509999999,PC_GDP,Pub Order & Safety,GGEXP
586,Svstria,SVN,2002,0.810748327,PC_GDP,ENVPROT,GGEXP
4947,Frstria,FRA,2002,0.758079113,PC_GDP,ENVPROT,GGEXP
4080,Grstria,GRC,2002,5.3242134519999995,PC_GDP,Economic Affairs,GGEXP
1088,Fistria,FIN,2002,1.0862976979999999,PC_GDP,RECULTREL,GGEXP
3745,Bestria,BEL,2002,0.8273929309999999,PC_GDP,ENVPROT,GGEXP
3763,Chstria,CHE,2002,12.84865921,PC_GDP,Social Protection,GGEXP
1034,Nlstria,NLD,2002,1.425757827,PC_GDP,Defence,GGEXP
1070,Czstria,CZE,2002,1.771860844,PC_GDP,Defence,GGEXP
4375,Esstria,ESP,2002,4.874244882,PC_GDP,Economic Affairs,GGEXP
2212,Itstria,ITA,2002,0.7793320229999999,PC_GDP,ENVPROT,GGEXP
1592,Austria,AUT,2002,20.87234176,PC_GDP,Social Protection,GGEXP
